Model,Accuracy,Precision,Recall,F1
efficientnetb0,0.1295889551302165,0.18176637379674776,0.1295889551302165,0.09301929729686527
inceptionv3,0.9940382805145905,0.995924748912528,0.9940382805145905,0.9947953292808106
mobilenetv2,0.9406965798556637,0.9475113407257987,0.9406965798556637,0.9416310119609014
resnet50,0.989645434577973,0.990192701253616,0.989645434577973,0.9897707055587182
vgg16,0.3853153435833072,0.31228319035710556,0.3853153435833072,0.3199855729609392
