epoch,accuracy,val_accuracy,loss,val_loss
1,0.8367871642112732,0.2747252881526947,0.5439261198043823,11.905896186828613
2,0.9440963864326477,0.9404761791229248,0.1810694932937622,0.1871584802865982
3,0.9616064429283142,0.7866300344467163,0.13010761141777039,1.016161561012268
4,0.9628915786743164,0.9203296899795532,0.12652263045310974,0.31555289030075073
5,0.9693172574043274,0.9496337175369263,0.10357780754566193,0.19005073606967926
6,0.9900401830673218,0.9963369965553284,0.027079124003648758,0.008874262683093548
7,0.9964658617973328,0.9972527623176575,0.01252482458949089,0.005148416385054588
8,0.9961445927619934,0.9972527623176575,0.011912968941032887,0.00967259332537651
9,0.9974297285079956,0.9963369965553284,0.00875222496688366,0.013788728043437004
10,0.997750997543335,0.9972527623176575,0.006628080271184444,0.007596130482852459
