epoch,accuracy,val_accuracy,loss,val_loss
1,0.81092369556427,0.17124542593955994,0.6482778191566467,11.363508224487305
2,0.9217670559883118,0.1446886509656906,0.25484326481819153,4.736995220184326
3,0.9641767144203186,0.17124542593955994,0.12515117228031158,11.218442916870117
4,0.968995988368988,0.18681319057941437,0.1056564673781395,9.199989318847656
5,0.974457859992981,0.37271061539649963,0.08113861083984375,4.253066062927246
6,0.9643373489379883,0.696886420249939,0.11816845834255219,1.2310093641281128
7,0.97493976354599,0.9239926934242249,0.07564467936754227,0.4242025911808014
8,0.9879518151283264,0.9670329689979553,0.04412780702114105,0.09964507073163986
9,0.9855421781539917,0.7463369965553284,0.046558067202568054,1.3215830326080322
10,0.9649799466133118,0.7179487347602844,0.12558682262897491,1.7481077909469604
