epoch,accuracy,val_accuracy,loss,val_loss
1,0.9037750959396362,0.12087912112474442,0.3004627823829651,16.614330291748047
2,0.9675502181053162,0.22344322502613068,0.11333122849464417,22.693424224853516
3,0.9736546277999878,0.18589743971824646,0.07827627658843994,19.250089645385742
4,0.9746184945106506,0.25366300344467163,0.0834025964140892,11.933342933654785
5,0.9874698519706726,0.23260073363780975,0.04371201992034912,15.760103225708008
6,0.9844176769256592,0.17124542593955994,0.055706463754177094,22.935819625854492
7,0.9799196720123291,0.23260073363780975,0.07085378468036652,11.727653503417969
8,0.9802409410476685,0.17124542593955994,0.06682675331830978,36.929847717285156
9,0.9869879484176636,0.2655677795410156,0.036329373717308044,10.290931701660156
10,0.9900401830673218,0.41025641560554504,0.035621996968984604,7.181746482849121
